,Brand,Model,Spec,Year,dB at idle,dB at 50km/h,dB at 80km/h,dB at 100km/h,dB at 120km/h,dB at 140km/h
28,Aston Martin,Rapide,5.9 V12,2013, 52.2 , 58.1 , 62.2 , 63.1 , 68.6 , 74.1 
29,Audi,A1,1.4 TFSI S tronic,2010, 39.4 , 62.2 , 64.4 , 66.8 , 69.1 , 71.9 
30,Audi,A1,1.4,2014, 38.2 , 59.1 , 63.3 , 66.1 , 69.1 , 71.3 
31,Audi,A3,2.0 TFSI Cabrio,2008, 46.1 , 62.0 , 63.0 , 65.0 , 68.0 , 68.2 
32,Audi,A3,1.4 TFSI S-Tronic,2009, 45.0 , 55.4 , 63.7 , 68.6 , 69.2 , 70.2 
33,Audi,A3,1.2 TSI Cabrio,2010, 39.9 , 60.3 , 65.5 , 67.8 , 70.9 , 72.9 
34,Audi,A3,1.4 TFSI Stationcar,2010, 36.6 , 61.5 , 65.0 , 66.5 , 68.0 , 69.9 
35,Audi,A3,1.2 TFSI Stationcar,2011, 37.1 , 58.5 , 64.0 , 65.4 , 68.3 , 71.6 
36,Audi,A3,1.4 TFSI,2012, 38.2 , 57.6 , 61.4 , 62.5 , 65.1 , 68.1 
37,Audi,A3,1.8 TFSI,2012, 44.5 , 58.0 , 62.7 , 65.9 , 68.7 , 70.7 
38,Audi,A3,1.8 Stationcar,2013, 47.2 , 58.2 , 61.2 , 65.2 , 67.9 , 70.6 
39,Audi,A3,2.0 TDI,2013, 43.0 , 53.0 , 60.9 , 63.5 , 66.3 , 69.5 
40,Audi,A3,1.8 TFSI Cabrio,2014, 39.2 , 55.6 , 60.2 , 64.4 , 67.4 , 71.3 
41,Audi,A3,2.0,2014, 40.4 , 51.7 , 58.6 , 62.5 , 64.9 , 67.2 
42,Audi,A3,G-Tron,2014, 42.5 , 54.0 , 59.5 , 62.9 , 65.5 , 70.4 
43,Audi,A3,1.0,2016, 39.9 , 56.8 , 59.5 , 62.2 , 66.2 , 69.6 
44,Audi,A3,1.4 Cabrio,2016, 40.0 , 57.6 , 62.1 , 65.7 , 69.9 , 72.6 
45,Audi,A3,2.0 TDI Stationcar,2016, 42.9 , 59.8 , 62.0 , 64.3 , 67.2 , 70.6 
46,Audi,A4,1.8 TFSI,2008, 41.6 , 57.8 , 61.5 , 64.3 , 66.4 , 69.7 
47,Audi,A4,2.0 TDI,2008, 43.2 , 53.1 , 61.1 , 65.2 , 66.4 , 68.0 
48,Audi,A4,2.0 TDI Stationcar,2008, 44.3 , 54.5 , 62.7 , 64.8 , 68.2 , 72.0 
49,Audi,A4,3.2 V6,2009, 43.9 , 53.8 , 59.9 , 63.1 , 65.8 , 68.4 
50,Audi,A4,1.8 TFSI,2011, 45.5 , 56.0 , 64.4 , 67.4 , 70.1 , 73.2 
51,Audi,A4,2.0 TFSI Allroad,2011, 42.8 , 52.6 , 60.5 , 64.4 , 65.8 , 67.6 
52,Audi,A4,2.0 TDI,2012, 43.6 , 53.6 , 61.6 , 63.7 , 67.1 , 70.9 
53,Audi,A4,2.0 TDIe,2012, 42.9 , 57.2 , 60.9 , 63.3 , 66.0 , 69.3 
54,Audi,A4,2.0 TFSI,2012, 44.4 , 54.0 , 59.9 , 63.2 , 65.2 , 67.2 
55,Audi,A4,2.0 T,2014, 43.2 , 53.2 , 59.4 , 62.9 , 64.7 , 66.4 
56,Audi,A4,2.0 TDI Stationcar,2014, 41.0 , 55.2 , 59.1 , 62.9 , 66.6 , 68.3 
57,Audi,A4,3.0 TDI Stationcar,2014, 41.6 , 55.2 , 59.6 , 63.9 , 66.3 , 68.1 
58,Audi,A4,2.0 TDI,2015, 45.2 , 54.3 , 58.6 , 61.6 , 64.9 , 68.6 
59,Audi,A4,2.0 TDI Stationcar,2015, 43.8 , 55.5 , 60.9 , 63.7 , 67.4 , 70.6 
60,Audi,A4,2.0 TDI,2016, 40.9 , 56.8 , 59.0 , 61.2 , 64.1 , 67.4 
61,Audi,A4,2.0 TFSI,2016, 42.9 , 54.8 , 58.0 , 61.2 , 64.3 , 67.6 
62,Audi,A4,2.0 TDI,2017, 44.9 , 56.8 , 59.5 , 62.2 , 64.3 , 67.6 
63,Audi,A5,3.0 TDI Quattro,2008, 44.1 , 54.3 , 62.5 , 67.6 , 67.9 , 68.5 
64,Audi,A5,3.2 FSI Quattro Tiptronic,2009, 42.8 , 52.6 , 60.5 , 64.0 , 65.8 , 68.0 
65,Audi,A5,2.0 TFSI Cabrio,2010, 39.6 , 61.5 , 63.2 , 66.6 , 69.2 , 71.8 
66,Audi,A5,3.2 FSI Quattro,2010, 44.2 , 54.4 , 62.6 , 66.4 , 68.0 , 70.0 
67,Audi,A5,1.8 TFSI Sportback,2012, 44.1 , 54.2 , 62.4 , 65.1 , 67.9 , 71.1 
68,Audi,A5,2.0 TFSI,2016, 37.9 , 55.8 , 59.5 , 63.3 , 65.2 , 68.6 
69,Audi,A6,2.0 TDIe,2009, 43.6 , 53.7 , 61.7 , 64.4 , 67.2 , 70.4 
70,Audi,A6,3.0 TFSI Quattro,2009, 43.6 , 53.6 , 61.6 , 66.3 , 67.0 , 68.0 
71,Audi,A6,2.8 FSI Tiptronic Quattro Stationcar,2010, 43.4 , 57.8 , 62.1 , 64.8 , 66.7 , 69.2 
72,Audi,A6,3.0 TDI,2010, 45.6 , 58.0 , 61.8 , 65.0 , 67.7 , 70.8 
73,Audi,A6,3.0 TDI Quattro,2011, 42.2 , 57.5 , 61.6 , 62.4 , 65.4 , 67.5 
74,Audi,A6,3.0 TFSI,2011, 42.8 , 52.7 , 60.6 , 64.1 , 65.9 , 68.1 
75,Audi,A6,3.0 TFSI Stationcar,2011, 38.7 , 52.7 , 58.3 , 61.3 , 64.5 , 66.6 
76,Audi,A6,3.0 TDI Stationcar,2012, 44.0 , 54.2 , 62.3 , 65.2 , 67.8 , 70.8 
77,Audi,A6,3.0 TFSI Quattro,2012, 42.0 , 52.5 , 59.0 , 62.7 , 64.9 , 67.2 
78,Audi,A6,2.0 TDI,2015, 45.1 , 57.5 , 61.5 , 64.0 , 66.0 , 67.5 
79,Audi,A6,3.0 TDI,2015, 41.6 , 56.2 , 60.1 , 63.9 , 66.6 , 68.3 
80,Audi,A6,2.0 TDI,2016, 43.9 , 53.1 , 57.3 , 60.1 , 64.0 , 67.6 
81,Audi,A6,2.0 TDI,2016, 39.9 , 59.8 , 61.5 , 63.3 , 64.3 , 67.6 
82,Audi,A6,2.0 TDI Stationcar,2016, 41.9 , 57.8 , 60.5 , 63.3 , 65.2 , 68.6 
83,Audi,A6,3.0 TDI,2016, 48.1 , 57.2 , 61.2 , 65.3 , 66.3 , 69.7 
84,Audi,A6,2.0 TDI,2017, 40.9 , 56.8 , 60.0 , 63.3 , 64.3 , 67.6 
85,Audi,A6,2.0 TFSI,2017, 39.9 , 53.8 , 58.5 , 63.3 , 65.2 , 68.6 
86,Audi,A6,3.0 TDI,2017, 41.9 , 56.8 , 60.5 , 64.3 , 65.2 , 68.6 
87,Audi,A6,3.0 TDI stationcar,2017, 39.9 , 56.8 , 60.0 , 63.3 , 65.2 , 68.6 
88,Audi,A7,3.0 TFSI,2011, 42.9 , 52.8 , 60.7 , 65.1 , 66.0 , 67.2 
89,Audi,A8,2.8 FSIe,2008, 42.7 , 52.6 , 60.4 , 63.5 , 65.8 , 68.3 
90,Audi,A8,4.2 TDI Quattro,2010, 41.7 , 51.3 , 59.0 , 63.3 , 64.1 , 65.2 
91,Audi,A8,4.2 V8 FSI,2010, 36.6 , 54.6 , 58.6 , 60.7 , 62.4 , 65.4 
92,Audi,A8,4.2 V8,2011, 45.8 , 54.1 , 59.3 , 62.0 , 64.0 , 66.1 
93,Audi,A8,4.0 V8,2012, 40.4 , 51.0 , 57.5 , 61.1 , 63.1 , 65.1 
94,Audi,A8,3.0 TDI,2014, 39.7 , 54.2 , 57.6 , 60.9 , 64.7 , 66.3 
95,Audi,Q2,1.4,2017, 37.9 , 60.8 , 63.0 , 65.3 , 68.2 , 71.7 
96,Audi,Q3,2.0 TDI Quattro,2011, 43.9 , 57.0 , 61.6 , 64.6 , 67.6 , 71.8 
97,Audi,Q3,2.0,2015, 42.3 , 57.2 , 61.1 , 64.9 , 67.6 , 69.3 
98,Audi,Q3,2.0,2016, 41.9 , 57.8 , 61.0 , 64.3 , 65.2 , 68.6 
99,Audi,Q3,2.0 TDI,2016, 47.9 , 59.8 , 62.5 , 65.3 , 67.2 , 70.6 
100,Audi,Q3 RS, ,2015, 42.9 , 58.2 , 62.1 , 65.9 , 68.6 , 70.3 
101,Audi,Q5,3.0 TDI,2008, 44.8 , 57.3 , 61.1 , 63.8 , 67.3 , 69.6 
102,Audi,Q5,2.0 TDI Quattro,2009, 43.1 , 53.0 , 61.0 , 64.8 , 66.3 , 68.2 
103,Audi,Q5,3.2 V6,2009, 45.3 , 54.5 , 60.2 , 63.2 , 65.6 , 68.0 
104,Audi,Q5,2.0 TDI Quattro,2011, 45.4 , 59.0 , 63.0 , 66.8 , 67.5 , 71.5 
105,Audi,Q5,2.0,2012, 42.8 , 52.7 , 60.6 , 64.2 , 65.9 , 68.0 
106,Audi,Q5,3.0 V6,2012, 47.8 , 55.8 , 60.8 , 63.6 , 65.2 , 66.8 
107,Audi,Q5,2.0,2014, 38.2 , 53.8 , 57.8 , 59.8 , 63.7 , 66.2 
108,Audi,Q5,2.0 TDI,2014, 41.6 , 57.2 , 60.6 , 63.9 , 67.6 , 69.3 
109,Audi,Q5,3.0 TDI,2014, 41.6 , 58.2 , 61.1 , 63.8 , 67.3 , 69.1 
110,Audi,Q5,2.0 TDI,2016, 43.9 , 58.8 , 61.5 , 64.3 , 66.2 , 69.6 
111,Audi,Q5,2.0 TDI,2017, 41.9 , 59.8 , 61.5 , 63.3 , 64.3 , 67.6 
112,Audi,Q5,2.0 TDI,2017, 41.9 , 59.8 , 61.5 , 63.3 , 64.3 , 67.6 
113,Audi,Q5,2.0 TFSI,2017, 38.9 , 54.8 , 58.5 , 62.2 , 64.3 , 67.6 
114,Audi,Q7,3.0 TDI,2010, 44.7 , 55.0 , 63.2 , 66.7 , 68.8 , 71.1 
115,Audi,Q7,3.0 TDI,2015, 41.2 , 51.7 , 56.7 , 60.2 , 63.5 , 67.6 
116,Audi,Q7,3.0 TDI Hybrid,2016, 42.0 , 50.5 , 55.8 , 59.3 , 63.6 , 65.7 
117,Audi,Q7,SQ7,2017, 42.9 , 54.8 , 58.0 , 61.2 , 63.3 , 66.5 
118,Audi,R8,5.2 FSI Quattro R-Tronic,2009, 47.8 , 58.8 , 67.6 , 71.3 , 73.6 , 76.1 
119,Audi,R8,5.2 FSI,2010, 50.6 , 59.4 , 65.0 , 67.3 , 71.8 , 76.3 
120,Audi,R8,V10 Plus,2016, 49.9 , 64.7 , 67.5 , 69.8 , 70.1 , 73.7 
121,Audi,R8,5.2 V10,2017, 50.8 , 65.7 , 68.0 , 70.3 , 72.1 , 75.8 
122,Audi,R8,V10 Plus,2017, 49.9 , 65.7 , 68.0 , 70.3 , 71.1 , 74.7 
123,Audi,RS4,Cabrio,2008, 47.9 , 56.9 , 62.6 , 65.1 , 69.2 , 73.3 
124,Audi,RS5, ,2012, 44.7 , 53.3 , 58.9 , 61.0 , 65.7 , 70.4 
125,Audi,RS5, ,2017, 44.9 , 57.8 , 61.0 , 64.3 , 66.2 , 69.6 
126,Audi,RS7, ,2017, 40.9 , 56.8 , 60.0 , 63.3 , 64.3 , 67.6 
127,Audi,S3, ,2014, 43.9 , 57.8 , 61.0 , 64.3 , 66.2 , 69.6 
128,Audi,S3, ,2017, 47.9 , 62.7 , 64.5 , 66.3 , 68.2 , 71.7 
129,Audi,S4,3.0 TFSI Quattro,2009, 44.5 , 54.8 , 63.0 , 67.8 , 68.5 , 69.6 
130,Audi,S5, ,2008, 42.9 , 55.7 , 63.5 , 68.0 , 70.5 , 73.0 
131,Audi,S8, ,2016, 39.9 , 55.8 , 59.5 , 63.3 , 64.3 , 67.6 
132,Audi,SQ5,3.0 V6,2014, 42.7 , 55.6 , 58.4 , 63.3 , 65.3 , 68.6 
133,Audi,SQ5,3.0 V6,2016, 48.9 , 58.8 , 61.5 , 64.3 , 65.2 , 68.6 
134,Audi,SQ5, ,2017, 39.9 , 58.8 , 61.5 , 64.3 , 66.2 , 69.6 
135,Audi,SQ7, ,2017, 42.9 , 54.8 , 58.0 , 61.2 , 63.3 , 66.5 
136,Audi,TT,2.0 TFSI,2008, 45.6 , 56.1 , 64.5 , 69.0 , 70.1 , 71.6 
137,Audi,TT,3.2,2008, 45.3 , 58.5 , 66.7 , 71.3 , 73.7 , 76.2 
138,Audi,TT,RS 2.5 TFSI Quattro,2009, 48.2 , 59.3 , 68.2 , 73.5 , 74.1 , 75.1 
139,Audi,TT,2.0D,2014, 43.6 , 61.2 , 64.1 , 66.9 , 69.6 , 71.3 
140,Audi,TT,1.8 Cabrio,2016, 43.9 , 59.8 , 63.5 , 67.3 , 69.1 , 72.7 
141,Audi,TT,RS,2017, 46.9 , 61.8 , 65.5 , 69.3 , 70.1 , 73.7 
142,Audi,TT,RS Roadster,2017, 50.8 , 62.7 , 66.5 , 70.3 , 71.1 , 74.7 
143,Audi,TT Roadster,2.0D,2015, 44.2 , 60.2 , 64.1 , 67.9 , 70.6 , 72.3 
144,Audi,TTS,2.0 TFSI,2008, 44.1 , 54.2 , 62.4 , 66.4 , 67.8 , 69.6 
145,Audi,TTS, ,2016, 43.9 , 62.7 , 65.0 , 67.3 , 71.1 , 74.7 
146,Audi,TTS,Cabrio,2016, 47.9 , 61.8 , 65.0 , 68.3 , 72.1 , 75.8 
147,Bentley,Bentayga,6.0 W12,2016, 37.9 , 52.8 , 57.5 , 62.2 , 64.3 , 67.6 
148,Bentley,Bentayga,4.0d,2017, 42.9 , 53.8 , 57.0 , 60.2 , 64.3 , 67.6 
149,Bentley,Continental,Supersports,2010, 47.3 , 57.0 , 63.0 , 66.1 , 69.0 , 71.9 
150,Bentley,Continental GT,V8,2012, 47.6 , 54.3 , 58.7 , 60.2 , 64.4 , 68.6 
151,Bentley,Continental GT,6.0 V12,2013, 48.0 , 56.1 , 61.3 , 63.6 , 67.2 , 70.8 
152,BMW,1,118d,2008, 49.3 , 61.1 , 64.9 , 65.4 , 68.4 , 70.1 
153,BMW,1,120d Coupe,2008, 40.8 , 50.2 , 57.7 , 61.4 , 62.7 , 64.3 
154,BMW,1,120i Cabrio,2008, 49.6 , 57.2 , 60.3 , 63.8 , 65.6 , 68.6 
155,BMW,1,125i Cabrio,2008, 46.5 , 57.2 , 65.8 , 68.2 , 71.6 , 75.4 
156,BMW,1,128i,2008, 47.3 , 56.8 , 62.8 , 65.9 , 68.6 , 71.4 
157,BMW,1,135i Cabrio,2008, 66.7 , 67.6 , 68.3 , 68.3 , 69.4 , 70.5 
158,BMW,1,135i Coupe,2008, 48.1 , 58.0 , 64.1 , 67.3 , 69.9 , 72.5 
159,BMW,1,135i Coupe,2009, 43.8 , 53.9 , 62.0 , 65.0 , 67.5 , 70.2 
160,BMW,1,118i,2010, 40.6 , 60.5 , 64.0 , 66.5 , 68.5 , 70.9 
161,BMW,1,118i Cabrio,2010, 36.6 , 60.6 , 63.1 , 66.0 , 69.4 , 71.8 
162,BMW,1,116i,2011, 43.6 , 61.1 , 64.5 , 67.0 , 69.0 , 74.5 
163,BMW,1,118d,2011, 44.2 , 54.4 , 62.6 , 66.5 , 68.0 , 69.9 
164,BMW,1,118i,2011, 40.7 , 57.3 , 60.7 , 63.4 , 66.1 , 69.8 
165,BMW,1,1M,2011, 48.5 , 59.9 , 66.8 , 70.9 , 72.7 , 74.5 
166,BMW,1,116i,2012, 39.6 , 57.9 , 61.5 , 63.2 , 65.7 , 67.5 
167,BMW,1,125d,2012, 47.1 , 55.7 , 60.1 , 63.8 , 67.4 , 69.7 
168,BMW,1,125i,2012, 45.5 , 57.2 , 62.5 , 65.8 , 69.4 , 71.3 
169,BMW,1,114i,2013, 42.4 , 57.4 , 62.3 , 64.7 , 67.8 , 70.5 
170,BMW,1,116d,2013, 43.2 , 53.1 , 61.1 , 64.1 , 66.5 , 69.1 
171,BMW,1,116i,2013, 43.2 , 53.2 , 61.2 , 64.1 , 66.6 , 69.4 
172,BMW,1,125d,2013, 42.8 , 52.7 , 60.6 , 64.1 , 65.9 , 68.1 
173,BMW,1,135i,2013, 42.9 , 52.8 , 60.7 , 64.9 , 66.0 , 67.5 
174,BMW,1,116i,2015, 42.4 , 57.6 , 61.8 , 64.9 , 67.6 , 71.3 
175,BMW,1,116i,2016, 41.9 , 56.8 , 60.5 , 64.3 , 66.2 , 69.6 
176,BMW,1,118i,2017, 44.9 , 56.8 , 60.0 , 63.3 , 65.2 , 68.6 
177,BMW,1,120i,2017, 37.7 , 53.8 , 59.9 , 63.4 , 70.1 , 70.2 
178,BMW,1,140i,2017, 45.9 , 61.8 , 64.0 , 66.3 , 68.2 , 71.7 
179,BMW,2,218i,2014, 44.5 , 57.7 , 62.2 , 64.9 , 68.6 , 71.8 
180,BMW,2,218D Gran Tourer,2015, 42.9 , 59.2 , 62.6 , 65.9 , 69.6 , 71.3 
181,BMW,2,220D Cabrio,2015, 42.3 , 58.2 , 61.6 , 64.9 , 70.6 , 72.3 
182,BMW,2,220i,2015, 39.3 , 58.5 , 62.5 , 66.6 , 69.3 , 73.6 
183,BMW,2,225i,2015, 42.9 , 60.2 , 63.1 , 65.9 , 68.6 , 70.3 
184,BMW,2,218i Active Tourer,2016, 39.9 , 59.8 , 63.0 , 66.3 , 68.2 , 71.7 
185,BMW,2,220d Gran Tourer,2016, 46.1 , 61.2 , 63.8 , 66.3 , 68.3 , 71.8 
186,BMW,2,216d,2017, 47.9 , 59.8 , 63.0 , 66.3 , 67.2 , 70.6 
187,BMW,3,318d,2008, 46.6 , 59.0 , 62.0 , 64.0 , 67.0 , 70.0 
188,BMW,3,320d,2008, 43.7 , 53.8 , 61.8 , 65.5 , 67.2 , 69.3 
189,BMW,3,320i,2008, 43.9 , 63.7 , 66.9 , 67.7 , 70.9 , 72.7 
190,BMW,3,325i,2008, 44.9 , 55.2 , 63.5 , 65.5 , 69.1 , 73.2 
191,BMW,3,325i Coupe,2009, 41.6 , 60.0 , 64.0 , 65.5 , 68.0 , 70.0 
192,BMW,3,330d,2009, 42.6 , 52.5 , 60.4 , 64.5 , 65.6 , 67.1 
193,BMW,3,335d,2009, 46.4 , 55.0 , 60.4 , 63.1 , 65.7 , 68.3 
194,BMW,3,335i Coupe,2009, 50.1 , 62.5 , 66.0 , 67.9 , 70.6 , 73.0 
195,BMW,3,325i Cabrio,2010, 43.3 , 59.0 , 64.5 , 66.3 , 69.1 , 71.2 
196,BMW,3,320d Stationcar,2011, 50.3 , 57.8 , 63.1 , 66.7 , 68.3 , 71.7 
197,BMW,3,320i Coupe,2011, 44.2 , 54.4 , 62.6 , 65.5 , 68.1 , 71.1 
198,BMW,3,320d,2012, 43.5 , 57.4 , 60.5 , 63.3 , 66.9 , 70.8 
199,BMW,3,320i,2012, 44.2 , 54.4 , 62.6 , 64.7 , 68.1 , 71.9 
200,BMW,3,328i,2012, 42.0 , 53.6 , 60.8 , 64.8 , 67.3 , 69.8 
201,BMW,3,328i,2012, 44.0 , 54.2 , 62.3 , 64.9 , 67.8 , 71.1 
202,BMW,3,320i,2013, 40.6 , 55.8 , 59.2 , 63.6 , 66.5 , 70.6 
203,BMW,3,320d,2014, 44.9 , 55.8 , 59.8 , 62.9 , 66.6 , 69.2 
204,BMW,3,320d Stationcar,2014, 41.0 , 55.2 , 59.1 , 62.9 , 66.6 , 68.3 
205,BMW,3,330d Stationcar,2014, 41.0 , 59.2 , 61.1 , 62.9 , 66.6 , 68.3 
206,BMW,3,316 Stationcar,2015, 46.1 , 57.0 , 61.6 , 64.5 , 66.7 , 69.5 
207,BMW,3,320d,2016, 42.9 , 56.2 , 59.9 , 63.0 , 67.4 , 69.5 
208,BMW,3,320i,2016, 40.1 , 58.2 , 61.2 , 64.3 , 66.3 , 69.7 
209,BMW,3,320d,2017, 43.9 , 58.8 , 61.5 , 64.3 , 67.2 , 70.6 
210,BMW,4,428i,2014, 42.4 , 52.7 , 59.1 , 62.4 , 65.4 , 68.3 
211,BMW,4,430i,2016, 44.9 , 56.8 , 60.0 , 63.3 , 64.3 , 67.6 
212,BMW,4,430i Gran Coupe,2017, 40.9 , 57.8 , 61.0 , 64.3 , 65.2 , 68.6 
213,BMW,5,530d,2008, 46.2 , 56.6 , 60.1 , 64.1 , 66.6 , 71.1 
214,BMW,5,535i,2008, 43.6 , 52.2 , 57.6 , 60.3 , 63.1 , 66.0 
215,BMW,5,530d GT,2009, 43.1 , 56.2 , 60.5 , 64.2 , 66.5 , 69.1 
216,BMW,5,523i,2010, 42.4 , 52.2 , 60.0 , 63.8 , 65.2 , 67.0 
217,BMW,5,530d,2010, 44.6 , 56.7 , 61.1 , 62.9 , 65.1 , 68.8 
218,BMW,5,535i GT,2010, 42.9 , 52.8 , 60.7 , 63.6 , 66.1 , 68.8 
219,BMW,5,550i GT,2010, 34.5 , 48.2 , 56.8 , 61.3 , 65.2 , 69.1 
220,BMW,5,520d Stationcar,2011, 43.5 , 53.5 , 61.5 , 64.5 , 67.0 , 69.8 
221,BMW,5,530d,2011, 44.6 , 56.7 , 61.1 , 62.9 , 65.1 , 68.9 
222,BMW,5,535i,2011, 42.6 , 54.7 , 62.1 , 66.4 , 68.3 , 70.2 
223,BMW,5,535i Stationcar,2011, 40.9 , 55.9 , 59.2 , 62.6 , 65.6 , 67.8 
224,BMW,5,535i,2012, 42.8 , 52.0 , 57.8 , 60.9 , 63.1 , 65.4 
225,BMW,5,ActiveHybrid,2012, 41.8 , 53.5 , 58.4 , 61.3 , 65.2 , 68.1 
226,BMW,5,ActiveHybrid,2012, 41.3 , 50.8 , 58.4 , 61.8 , 63.5 , 65.6 
227,BMW,5,520i Stationcar,2015, 42.9 , 60.2 , 63.1 , 65.9 , 67.6 , 69.3 
228,BMW,5,530d,2015, 41.0 , 55.2 , 59.1 , 62.9 , 66.6 , 68.3 
229,BMW,5,520d,2016, 45.9 , 57.8 , 60.5 , 63.3 , 65.2 , 68.6 
230,BMW,5,520d Stationcar,2016, 43.9 , 57.8 , 61.5 , 64.7 , 65.2 , 68.6 
231,BMW,5,530d,2016, 41.9 , 56.8 , 60.5 , 63.3 , 64.3 , 67.6 
232,BMW,5,535d,2016, 46.9 , 57.8 , 60.5 , 63.3 , 65.1 , 68.2 
233,BMW,5,530d,2017, 41.9 , 55.8 , 59.0 , 62.2 , 64.3 , 67.6 
234,BMW,5,530d stationcar,2017, 41.9 , 55.8 , 59.5 , 63.3 , 65.2 , 68.6 
235,BMW,5,530i,2017, 37.9 , 54.8 , 58.5 , 61.2 , 62.3 , 65.5 
236,BMW,5,530i stationcar,2017, 37.1 , 51.7 , 57.5 , 59.6 , 65.5 , 65.6 
237,BMW,5,540i,2017, 38.9 , 56.8 , 60.0 , 63.3 , 65.2 , 68.6 
238,BMW,6,640i Gran Coupe,2012, 41.6 , 51.2 , 58.9 , 63.2 , 64.0 , 65.1 
239,BMW,6,650i,2012, 47.3 , 55.0 , 60.0 , 62.1 , 65.7 , 69.3 
240,BMW,6,650i,2012, 43.6 , 53.7 , 61.7 , 65.2 , 67.1 , 69.4 
241,BMW,7,730d,2009, 42.1 , 56.3 , 60.1 , 62.0 , 66.7 , 68.1 
242,BMW,7,750i,2009, 41.4 , 53.9 , 61.6 , 66.0 , 68.1 , 70.2 
243,BMW,7,740d,2010, 42.4 , 52.2 , 60.0 , 63.8 , 65.2 , 67.0 
244,BMW,7,750iL,2010, 38.5 , 56.1 , 61.2 , 63.0 , 64.8 , 67.0 
245,BMW,7,740i,2011, 44.8 , 53.7 , 59.3 , 62.0 , 65.0 , 68.1 
246,BMW,7,750i,2013, 40.3 , 55.2 , 58.6 , 61.9 , 65.7 , 67.3 
247,BMW,7,730d,2014, 39.7 , 56.2 , 58.6 , 60.9 , 65.7 , 67.3 
248,BMW,7,730d,2016, 42.9 , 53.9 , 57.7 , 60.5 , 63.0 , 66.0 
249,BMW,7,760i,2017, 35.9 , 57.8 , 59.0 , 60.2 , 62.3 , 65.5 
250,BMW,i3, ,2014, 43.4 , 53.5 , 59.8 , 64.2 , 66.9 , 71.4 
